FID;CID;curvature1;waterriver;VGTB_LandC;fill_dgmq3;litho1;dgm_slope1;aspect;curv_pln;curv_profi;soil1;NEAR_FID;NEAR_DIST;longitude;latitude;is_ls;Topographi
567;0;-0,0027806;30;5;4,9807701;5;0,2174730;220,5520020;0,0013859;0,0041665;11;47;287,344226703000004;859724,0000000;1759120,0000000;0;9,5044203
568;0;0,0974498;99;3;39,7980003;5;2,0190301;71,7462997;-0,0074077;-0,1048580;3;22;1188,712928859999920;831011,0000000;1724610,0000000;0;8,9186897
569;0;-1,1553200;99;1;478,2049866;2;1,9211700;96,9462967;-1,1172301;0,0380977;3;30;247,874863876000006;761983,0000000;1726180,0000000;0;6,7119699
570;0;-0,1027790;99;2;5,0780702;5;0,8114430;88,8429031;-0,0656195;0,0371594;4;51;1056,192758449999928;869881,0000000;1726940,0000000;0;8,8856001
571;0;0,0217254;99;2;10,8015003;5;0,5050420;172,5229950;0,0365835;0,0148580;10;1;252,642160461000003;834529,0000000;1762310,0000000;0;9,9381800
572;0;0,1107520;30;2;7,3442702;5;2,3299799;201,6589966;0,0222727;-0,0884792;4;13;381,879086169999994;829230,0000000;1783740,0000000;0;9,0268297
573;0;-3,3169501;30;2;257,6969910;3;18,8542004;133,6280060;-1,4747699;1,8421900;3;7;410,525104182000007;832870,0000000;1683180,0000000;0;6,2010798
574;0;0,6801330;99;1;113,8679962;3;19,4092007;223,3150024;0,3576660;-0,3224660;3;10;606,727684946999943;864713,0000000;1717580,0000000;0;5,1225400
575;0;1,4350100;99;2;110,3990021;3;28,9810009;122,8799973;0,1787670;-1,2562500;3;46;917,264136301000008;820128,0000000;1756790,0000000;0;4,3699899
576;0;-0,0000000;99;2;5,3346701;5;0,1839960;225,0000000;0,0000000;0,0000000;4;2;250,997840528000012;847452,0000000;1761200,0000000;0;9,9819498
577;0;-0,0000000;99;2;5,4892802;5;0,0002292;135,0000000;0,0000000;0,0000000;4;4;377,740049194999983;834956,0000000;1770930,0000000;0;10,9424000
578;0;-0,3933110;99;3;286,5039978;2;24,3859005;22,8792992;-0,4415400;-0,0482294;3;21;68,689879449299994;794218,0000000;1746800,0000000;0;5,1410198
579;0;0,3627380;99;5;21,8192997;3;2,1169801;109,2350006;0,2243610;-0,1383770;3;12;203,561681525000012;831747,0000000;1778030,0000000;0;7,8819599
580;0;0,0127953;60;5;17,7900009;5;1,7744000;304,4450073;0,0366051;0,0238097;3;44;23,074153482600000;816645,0000000;1753490,0000000;0;7,3517299
